Index,ROI_name
1,Caudate
2,Putamen
3,Globus pallidus
4,Substantia nigra
5,Red nucleus
6,Inferior cerebellar peduncle
7,Pontine crossing tract
8,Medial lemniscus
9,Body of corpus callosum
10,Splenium of corpus callosum
11,Posterior limb of internal capsule
12,Retrolenticular part of internal capsule
13,Anterior corona radiata
14,Superior corona radiata
15,Posterior corona radiata
16,Posterior thalamic radiation
17,Sagittal stratum
18,Superior longitudinal fasciculus
19,Superior fronto-occipital fasciculus
